1st_flr_sf,3ssn_porch,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmtfin_type_1,enclosed_porch,exter_qual,exterior_1st,exterior_2nd,fireplace_qu,fireplaces,foundation,full_bath,garage_area,garage_finish,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating_qc,house_style,id,kitchen_qual,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_qual,pool_area,roof_style,saleprice,screen_porch,total_bsmt_sf,wood_deck_sf,year_built,year_remod/add,yr_sold
725,0,No,0.0,TA,GLQ,0,Gd,HdBoard,Plywood,None,0,CBlock,2,475.0,RFn,Attchd,1976.0,1479,1,Ex,2Story,109,Gd,13517,CulDSac,68.0,IR1,289.0,BrkFace,60,RL,Sawyer,44,6,0,Gable,130500,0,725.0,0,1976,2005,2010
913,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,TA,1,PConc,2,559.0,RFn,Attchd,1997.0,2122,1,Ex,2Story,544,Gd,11492,CulDSac,43.0,IR1,132.0,BrkFace,60,RL,SawyerW,74,7,0,Gable,220000,0,913.0,0,1996,1997,2009
1057,0,No,1.0,TA,GLQ,0,TA,VinylSd,VinylSd,None,0,CBlock,1,246.0,Unf,Detchd,1953.0,1057,0,TA,1Story,153,Gd,7922,Inside,68.0,Reg,0.0,None,20,RL,NAmes,52,5,0,Gable,109000,0,1057.0,0,1953,2007,2010
744,0,No,0.0,Gd,Unf,0,TA,VinylSd,VinylSd,None,0,PConc,2,400.0,Fin,BuiltIn,2007.0,1444,1,Gd,2Story,318,TA,9802,Inside,73.0,Reg,0.0,None,60,RL,Timber,0,5,0,Gable,174000,0,384.0,100,2006,2007,2010
831,0,No,0.0,Fa,Unf,0,TA,Wd Sdng,Plywood,None,0,PConc,2,484.0,Unf,Detchd,1957.0,1445,0,TA,1.5Fin,255,TA,14235,Inside,82.0,IR1,0.0,None,50,RL,SawyerW,59,6,0,Gable,138500,0,676.0,0,1900,1993,2010
1888,0,No,0.0,TA,ALQ,0,Gd,BrkFace,Plywood,Gd,1,CBlock,2,578.0,Fin,Attchd,1966.0,1888,1,Ex,1Story,138,Gd,16492,Corner,137.0,IR1,0.0,None,20,RL,NAmes,0,6,0,Gable,190000,0,1517.0,0,1966,2002,2010
1072,0,Gd,1.0,Gd,GLQ,0,TA,VinylSd,VinylSd,None,0,PConc,2,525.0,Fin,Basment,2005.0,1072,0,Gd,SFoyer,2827,TA,3675,Inside,35.0,Reg,82.0,BrkFace,180,RM,Edwards,44,6,0,Gable,140000,0,547.0,0,2005,2006,2006
1188,0,No,1.0,TA,Rec,0,TA,Plywood,Plywood,None,0,CBlock,1,531.0,RFn,Attchd,1959.0,1188,0,Fa,1Story,145,TA,12160,Inside,68.0,IR1,180.0,BrkFace,20,RL,NAmes,0,5,0,Hip,142000,0,1188.0,0,1959,1959,2010
924,0,No,0.0,TA,Rec,0,TA,Wd Sdng,Wd Sdng,None,0,CBlock,1,420.0,Unf,Detchd,1952.0,924,0,TA,1Story,1942,TA,15783,Inside,68.0,Reg,0.0,None,20,RL,OldTown,324,5,0,Gable,112500,0,924.0,0,1952,1952,2007
1040,0,Av,0.0,Gd,Rec,0,TA,Plywood,Plywood,TA,2,PConc,1,504.0,Unf,Attchd,1969.0,2080,2,TA,2Story,1956,Fa,11606,Inside,70.0,IR1,192.0,BrkFace,60,RL,NAmes,0,5,0,Gable,135000,0,1040.0,335,1969,1969,2007
