,1st_flr_sf,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmtfin_type_1,exter_qual,fireplace_qu,fireplaces,foundation,full_bath,garage_area,garage_finish,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating_qc,house_style,id,kitchen_qual,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,overall_qual,roof_style,saleprice,total_bsmt_sf,wood_deck_sf,porch,pool,age_sold,remodelled,exterior
0,725,No,0.0,3,6,4,0,0,CBlock,2,475.0,RFn,Attchd,1976.0,1479,1,5,2Story,109,4,13517,CulDSac,68.0,1,289.0,BrkFace,60,RL,Sawyer,6,Gable,130500,725.0,0,1,0,34,1,wood
1,913,No,1.0,4,6,4,3,1,PConc,2,559.0,RFn,Attchd,1997.0,2122,1,5,2Story,544,4,11492,CulDSac,43.0,1,132.0,BrkFace,60,RL,SawyerW,7,Gable,220000,913.0,0,1,0,13,1,vinyl
2,1057,No,1.0,3,6,3,0,0,CBlock,1,246.0,Unf,Detchd,1953.0,1057,0,3,1Story,153,4,7922,Inside,68.0,0,0.0,None,20,RL,NAmes,5,Gable,109000,1057.0,0,1,0,57,1,vinyl
3,744,No,0.0,4,1,3,0,0,PConc,2,400.0,Fin,BuiltIn,2007.0,1444,1,4,2Story,318,3,9802,Inside,73.0,0,0.0,None,60,RL,Timber,5,Gable,174000,384.0,100,0,0,4,1,vinyl
4,831,No,0.0,2,1,3,0,0,PConc,2,484.0,Unf,Detchd,1957.0,1445,0,3,1.5Fin,255,3,14235,Inside,82.0,1,0.0,None,50,RL,SawyerW,6,Gable,138500,676.0,0,1,0,110,1,wood
5,1888,No,0.0,3,5,4,4,1,CBlock,2,578.0,Fin,Attchd,1966.0,1888,1,5,1Story,138,4,16492,Corner,137.0,1,0.0,None,20,RL,NAmes,6,Gable,190000,1517.0,0,0,0,44,1,brick
6,1072,Gd,1.0,4,6,3,0,0,PConc,2,525.0,Fin,Basment,2005.0,1072,0,4,SFoyer,2827,3,3675,Inside,35.0,0,82.0,BrkFace,180,RM,Edwards,6,Gable,140000,547.0,0,1,0,1,1,vinyl
7,1188,No,1.0,3,3,3,0,0,CBlock,1,531.0,RFn,Attchd,1959.0,1188,0,2,1Story,145,3,12160,Inside,68.0,1,180.0,BrkFace,20,RL,NAmes,5,Hip,142000,1188.0,0,0,0,51,0,wood
8,924,No,0.0,3,3,3,0,0,CBlock,1,420.0,Unf,Detchd,1952.0,924,0,3,1Story,1942,3,15783,Inside,68.0,0,0.0,None,20,RL,OldTown,5,Gable,112500,924.0,0,1,0,55,0,wood
9,1040,Av,0.0,4,3,3,3,2,PConc,1,504.0,Unf,Attchd,1969.0,2080,2,3,2Story,1956,2,11606,Inside,70.0,1,192.0,BrkFace,60,RL,NAmes,5,Gable,135000,1040.0,335,0,0,38,0,wood
10,483,No,0.0,3,5,3,0,0,CBlock,1,264.0,Unf,Detchd,1971.0,987,1,3,2Story,1044,3,1680,Inside,21.0,0,232.0,BrkFace,160,RM,BrDale,6,Gable,85400,483.0,0,0,0,37,0,wood
11,1208,Av,0.0,4,6,4,0,0,PConc,2,632.0,RFn,Attchd,2005.0,1208,0,5,1Story,2752,4,7488,Inside,64.0,1,0.0,None,20,RL,CollgCr,7,Gable,183600,1208.0,105,1,0,1,0,vinyl
12,1288,None,0.0,0,0,4,3,1,PConc,1,576.0,Unf,Attchd,1900.0,2016,0,5,2Story,807,3,26400,FR2,120.0,0,0.0,None,70,RL,SawyerW,5,Gable,131000,0.0,0,0,0,129,1,wood
13,962,No,1.0,4,6,4,0,0,PConc,2,480.0,Unf,Detchd,2000.0,1607,1,5,2Story,1177,4,2645,Inside,24.0,0,456.0,BrkFace,160,FV,Somerst,8,Gable,200000,960.0,169,0,0,9,1,metal
14,1361,Av,0.0,4,6,4,0,0,PConc,2,610.0,RFn,Attchd,2007.0,1361,0,5,1Story,1480,4,9627,Inside,74.0,0,0.0,None,20,RL,CollgCr,7,Gable,193000,1351.0,0,1,0,1,0,vinyl
15,1430,Av,0.0,5,1,3,0,0,PConc,2,624.0,RFn,Attchd,2004.0,1430,0,5,1Story,324,4,10114,Inside,93.0,0,0.0,None,20,RL,Mitchel,5,Gable,173500,1430.0,0,0,0,6,1,vinyl
16,624,No,0.0,3,1,3,0,0,BrkTil,1,513.0,Unf,Detchd,1916.0,1344,0,2,2Story,1311,3,4571,Inside,34.0,0,0.0,None,70,RM,OldTown,5,Gable,98000,624.0,0,1,0,92,1,cemt_agg
